stop_name,stop_lat,stop_lon
Kantorowicka,50.098889444,20.067272222
Kapelanka,50.044746110666665,19.921840277333335
Karniowice Górki,50.1494513885,19.779081666499998
Karniowice Pętla,50.152357222,19.773897222
Karniów Szkoła,50.131592360499994,20.171206943999998
Karpińskiego,50.016366388,19.963361944
Kasztanowa,50.065124027500005,19.8658329165
Kaszów Krzyżówka do Nowej Wsi Szlacheckiej,50.0388949995,19.7203325
Kaszów Na Górce,50.0359666665,19.716172638499998
Kaszów Remiza,50.039299583,19.725581527499997
Kaszów Szkoła nr 2,50.0218252775,19.728842777
Kaszów Tyrałówka,50.039600694,19.733450833
Kaszów Wielka Droga,50.0251468055,19.736233194
Kaszów Wyźrał,50.015714722,19.718761805
Kaszów Łysa Góra,50.037419305,19.744293333
Katowicka,50.090231805,19.882897221500002
Kawiory,50.06859564766666,19.913559259
Kenara,49.981996805,19.959961944
Klasztor Cystersów,50.0647338885,20.052126805
Klasztorna,50.0688138885,20.051078054999998
Kleeberga,50.09588342533334,20.013290833
Kleszczów Centrum,50.104901666,19.748825833
Kleszczów Pod Lipką,50.103092777,19.752515277500002
Klimeckiego,50.0487486105,19.9680440275
Kliny Poranne,49.995392777,19.911614722
Kliny Zacisze,50.0014413885,19.9005836105
Kobierzyn,50.0072534715,19.8918176385
Kobierzyńska,50.034102915999995,19.925679999499998
Kobylany Dworska,50.1481137495,19.753029165999997
Kobylany Kwiatowa,50.1472237495,19.762107776999997
Kobylany Remiza,50.1486152775,19.758423472
Kochanów Centrum,50.1148437495,19.747989583
Kochanów Sowiarka,50.1127848605,19.733833194
Kocmyrzów Biblioteka,50.130530832999995,20.130108194
Kocmyrzów Krzyżówka,50.133540138499995,20.1260784715
Kocmyrzów Rondo,50.133595694,20.114325694
Kocmyrzów Sodfiny,50.1300402775,20.137302638500003
Kocmyrzów-Luborzyca Urząd Gminy,50.135435138000005,20.1134573605
Kokotów I,50.0122152775,20.083870416
Kokotów II,50.013701944,20.093993194
Kolna,50.02475499933333,19.833243147666668
Kolna Kapliczka,50.028801388,19.830184166
Kombinat,50.079186295666666,20.065750925666666
Komorowskiego,50.053475277000004,19.922080694
Komuny Paryskiej,50.0070148605,19.896758194
Konary Królowej Polski,49.9334472215,19.916240555
Konary Pod Sosenką,49.9308288885,19.9177112495
Konary Pętla,49.9442175,19.921189444
Konary Sęk,49.935413333,19.927491111000002
Konopnickiej,50.0527924995,19.929382916
Kopalina,50.065855694,19.861372083
Korepty,50.0157452775,20.0283101385
Korona,50.0438055555,19.946601805
Korzkiew Botoja,50.1557566665,19.883446665999998
Korzkiew Zamek,50.161715277,19.881155972000002
Kosmowskiej,50.061376805500004,19.831357916
Kosocice,49.9942363885,19.989232222
Kosocicka,50.0044315275,20.011212083
Kostrze,50.018938055,19.842765694
Kostrze Kapliczka,50.026907083,19.8446813885
Kostrze OSP,50.028655416,19.852154305
Kostrze Szkoła,50.029133332499995,19.8552199995
Koszykarska,50.05225935133333,19.989631666333334
Kozienicka,50.0062216665,19.858931110500002
Kościelniki,50.090266805,20.175279305
Kościuszkowców,50.016345555499996,19.9293637495
Kraków Airport,50.0713063885,19.8001848605
Krasieniec Stary Kopalina,50.1960729165,19.938695694
Krasieniec Stary Skrzyżowanie,50.190666805,19.9415488885
Krasieniec Zakupny Kapliczka,50.211352082999994,19.9497124995
Krasieniec Zakupny Kotryska,50.213372222,19.955307777
Krasieniec Zakupny Pod Lipą,50.207578055,19.938057083
Krasieniec Zakupny Remiza,50.2008873605,19.9391320825
Krasnowolskiego,50.085345415999996,20.049161943999998
Krowoderskich Zuchów,50.088776666,19.9258463885
Krowodrza Górka P+R,50.0885619996,19.9317566108
Krowodrza Urzędy Skarbowe,50.084687777499994,19.9306699995
Kryspinów Rondo,50.043002777333335,19.796930832666664
Kryspinów Sanka,50.0421865275,19.787777916
Kryspinów Stopień Wodny,50.033327360499996,19.816259860499997
Krzemieniecka,49.983461527,19.9954612495
